Summary,Description,Assignee,Priority,Due Date,Labels,Control ID,Section,Frameworks,Domain,Evidence (Min),RICE,WSJF,Next Review
[NCA ECC v2.0] NCA ECC: Access Control,"Implement and periodically test controls under NCA ECC v2.0 – 'Access Control'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Access Control' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;SAMA CSF;Compliance;Record/Log,NCA-ECC::Access_Control,NCA ECC: Access Control,NCA ECC v2.0; SAMA CSF,Compliance,Policy/Standard; Configuration/Capture; Report/Review,113.4,10.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Access Control,"Implement and periodically test controls under NCA ECC v2.0 – 'Access Control'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Access Control' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;SAMA CSF;Access Control;nan,NCA-ECC::Access_Control,NCA ECC: Access Control,NCA ECC v2.0; SAMA CSF,Access Control,Policy/Standard; Configuration/Capture; Report/Review,94.5,12.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Logging & Monitoring,"Implement and periodically test controls under NCA ECC v2.0 – 'Logging & Monitoring'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Logging & Monitoring' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,NCA ECC v2.0;Compliance;Record/Log,NCA-ECC::Logging_&_Monitoring,NCA ECC: Logging & Monitoring,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,63.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Incident Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Incident Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: SecOps/SOC. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Incident Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: SecOps/SOC. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Highest,2025-11-16,NCA ECC v2.0;SAMA CSF;Incident Response;Report/Review,NCA-ECC::Incident_Management,NCA ECC: Incident Management,NCA ECC v2.0; SAMA CSF,Incident Response,Policy/Standard; Configuration/Capture; Report/Review,63.0,13.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Audit & Assurance,"Implement and periodically test controls under NCA ECC v2.0 – 'Audit & Assurance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Audit & Assurance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,NCA ECC v2.0;Compliance;Configuration/Capture,NCA-ECC::Audit_&_Assurance,NCA ECC: Audit & Assurance,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,63.0,10.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Logging & Monitoring,"Implement and periodically test controls under NCA ECC v2.0 – 'Logging & Monitoring'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Logging & Monitoring' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,NCA ECC v2.0;Compliance;Record/Log,NCA-ECC::Logging_&_Monitoring,NCA ECC: Logging & Monitoring,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,63.0,10.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan;Business Continuity,UNMAPPED,Unmapped,nan,Business Continuity,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan;Configuration/Capture,UNMAPPED,Unmapped,nan,nan,Record/Log,63.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Risk Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Risk Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: Procurement/Vendor Mgmt. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Risk Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: Procurement/Vendor Mgmt. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Procurement/Vendor Mgmt,Highest,2025-11-16,NCA ECC v2.0;Risk Management;nan,NCA-ECC::Risk_Management,NCA ECC: Risk Management,NCA ECC v2.0,Risk Management,Policy/Standard; Configuration/Capture; Report/Review,63.0,9.0,2026-05-08
[NCA ECC v2.0] PDPL: Security of Personal Data,"Establish and maintain controls for 'Security of Personal Data' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: Procurement/Vendor Mgmt. Priority: Critical. Next review: 2026-05-08.

إنشاء وضبط ضوابط 'Security of Personal Data' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: Procurement/Vendor Mgmt. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Procurement/Vendor Mgmt,Highest,2025-11-16,NCA ECC v2.0;PDPL (KSA);Information Security;nan,PDPL::Security_of_Personal_Data,PDPL: Security of Personal Data,NCA ECC v2.0; PDPL (KSA),Information Security,Policy/Standard; Procedure/Playbook; Record/Log,73.5,11.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Logging & Monitoring,"Implement and periodically test controls under NCA ECC v2.0 – 'Logging & Monitoring'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: Procurement/Vendor Mgmt. Priority: Critical. Next review: 2026-11-09.

تطبيق واختبار ضوابط 'Logging & Monitoring' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: Procurement/Vendor Mgmt. الأولوية: Critical. المراجعة القادمة: 2026-11-09.",Team - Procurement/Vendor Mgmt,Highest,2025-11-16,NCA ECC v2.0;SAMA CSF;Operations Security;Report/Review,NCA-ECC::Logging_&_Monitoring,NCA ECC: Logging & Monitoring,NCA ECC v2.0; SAMA CSF,Operations Security,Policy/Standard; Configuration/Capture; Report/Review,63.0,9.0,2026-11-09
[NCA ECC v2.0] PDPL: Breach Notification,"Establish and maintain controls for 'Breach Notification' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: Procurement/Vendor Mgmt. Priority: Critical. Next review: 2026-05-08.

إنشاء وضبط ضوابط 'Breach Notification' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: Procurement/Vendor Mgmt. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Procurement/Vendor Mgmt,Highest,2025-11-16,NCA ECC v2.0;PDPL (KSA);SAMA CSF;Third-Party Risk;nan,PDPL::Breach_Notification,PDPL: Breach Notification,NCA ECC v2.0; PDPL (KSA); SAMA CSF,Third-Party Risk,Policy/Standard; Procedure/Playbook; Record/Log,73.5,11.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Incident Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Incident Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: SecOps/SOC. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Incident Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: SecOps/SOC. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Highest,2025-11-16,NCA ECC v2.0;SAMA CSF;Incident Response;nan,NCA-ECC::Incident_Management,NCA ECC: Incident Management,NCA ECC v2.0; SAMA CSF,Incident Response,Policy/Standard; Configuration/Capture; Report/Review,63.0,13.0,2026-05-08
